City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
182,Sunrise Manor,US,2020-04-17 19:29:23,36.21,-115.07,72.0,19,1,13.87,clear sky,0.000,0
183,San Jose Del Guaviare,CO,2020-04-17 19:31:18,2.57,-72.65,85.55,52,99,2.24,overcast clouds,0.000,0
184,Caravelas,BR,2020-04-17 19:31:19,-17.71,-39.25,78.57,85,81,15.32,light rain,0.930,0
185,Vao,NC,2020-04-17 19:31:20,-22.67,167.48,74.61,67,13,6.87,few clouds,0.000,0
186,Nouadhibou,MR,2020-04-17 19:31:21,20.93,-17.03,68.0,77,94,18.34,overcast clouds,0.000,0
187,Puerto Del Rosario,ES,2020-04-17 19:28:45,28.5,-13.86,69.8,68,40,2.24,scattered clouds,0.000,0
188,Kangaatsiaq,GL,2020-04-17 19:31:22,68.31,-53.46,29.23,90,55,12.01,broken clouds,0.000,0
189,Yellowknife,CA,2020-04-17 19:29:52,62.46,-114.35,26.6,63,75,13.87,broken clouds,0.000,0
190,Srivardhan,IN,2020-04-17 19:31:23,18.03,73.02,79.21,86,0,2.55,clear sky,0.000,0
191,Ossora,RU,2020-04-17 19:31:23,59.24,163.07,20.05,92,0,7.16,clear sky,0.000,0
192,Swift Current,CA,2020-04-17 19:31:24,50.28,-107.8,55.4,32,1,21.92,clear sky,0.000,0
193,Turkmenabat,TM,2020-04-17 19:31:25,39.07,63.58,59.0,67,0,2.24,clear sky,0.000,0
194,Filadelfia,US,2020-04-17 19:31:13,39.95,-75.16,53.01,34,90,9.17,overcast clouds,0.000,0
195,Ostrovnoy,RU,2020-04-17 19:31:26,68.05,39.51,32.34,96,100,14.47,light snow,0.000,1
196,Bafoulabe,ML,2020-04-17 19:31:27,13.81,-10.83,99.84,17,45,0.81,scattered clouds,0.000,0
197,Souillac,MU,2020-04-17 19:31:27,-20.52,57.52,77.0,78,40,11.41,scattered clouds,0.000,0
198,Dunedin,NZ,2020-04-17 19:28:00,-45.87,170.5,51.01,95,100,4.0,light rain,0.000,0
199,Fortuna,US,2020-04-17 19:31:30,40.6,-124.16,55.0,100,90,10.29,overcast clouds,0.000,0
200,Talnakh,RU,2020-04-17 19:31:31,69.49,88.4,28.4,79,95,24.61,overcast clouds,0.000,0
201,Tuatapere,NZ,2020-04-17 19:27:11,-46.13,167.68,50.0,91,99,7.0,overcast clouds,0.000,0
202,Esperance,AU,2020-04-17 19:27:57,-33.87,121.9,59.0,72,53,17.22,broken clouds,0.000,0
203,Kruisfontein,ZA,2020-04-17 19:26:49,-34.0,24.73,56.73,85,42,3.0,scattered clouds,0.000,0
204,Khandyga,RU,2020-04-17 19:31:33,62.67,135.6,-2.15,87,85,1.57,overcast clouds,0.000,0
205,Templemore,IE,2020-04-17 19:31:34,52.79,-7.83,50.0,91,100,9.15,light rain,0.860,0
206,Hamilton,US,2020-04-17 19:31:35,39.18,-84.53,53.6,76,90,10.29,light rain,0.000,0
207,Beira,MZ,2020-04-17 19:31:36,-19.84,34.84,80.6,83,40,10.29,scattered clouds,0.000,0
208,Porto Novo,BJ,2020-04-17 19:31:36,6.5,2.6,84.2,89,40,12.75,scattered clouds,0.000,0
209,Tilichiki,RU,2020-04-17 19:31:37,60.47,166.1,11.12,92,0,9.91,clear sky,0.000,0
210,Vestmannaeyjar,IS,2020-04-17 19:28:37,63.44,-20.27,44.6,81,90,16.11,overcast clouds,0.000,0
211,Chalus,IR,2020-04-17 19:29:03,36.66,51.42,55.4,87,90,2.57,overcast clouds,0.000,0
212,Marawi,PH,2020-04-17 19:31:41,8.0,124.29,65.53,65,1,4.5,clear sky,0.000,0
213,Las Vegas,US,2020-04-17 19:28:21,36.17,-115.14,72.0,18,1,9.17,clear sky,0.000,0
214,Moba,CN,2020-04-17 19:31:42,33.23,105.02,43.18,47,100,2.44,overcast clouds,0.000,0
215,Zhangye,CN,2020-04-17 19:31:43,38.93,100.45,45.99,39,66,3.22,broken clouds,0.000,0
216,Roald,NO,2020-04-17 19:27:39,62.58,6.13,39.99,64,53,5.82,broken clouds,0.000,0
217,Henties Bay,NA,2020-04-17 19:28:30,-22.12,14.28,59.0,90,3,5.01,clear sky,0.000,0
218,Lethem,GY,2020-04-17 19:31:46,3.38,-59.8,94.75,35,90,4.38,overcast clouds,0.000,0
219,Igarka,RU,2020-04-17 19:31:46,67.47,86.58,33.91,96,100,13.06,overcast clouds,0.000,0
220,Laguna,US,2020-04-17 19:31:27,38.42,-121.42,68.0,59,1,12.75,clear sky,0.000,0
221,Saldanha,ZA,2020-04-17 19:31:49,-33.01,17.94,62.6,67,19,11.41,few clouds,0.000,0
222,Honningsvag,NO,2020-04-17 19:31:50,70.98,25.97,37.27,82,99,23.82,light snow,0.000,0
223,Georgetown,MY,2020-04-17 19:31:14,5.41,100.34,80.6,88,20,3.36,few clouds,0.000,0
224,Atasu,KZ,2020-04-17 19:31:52,48.68,71.64,45.41,46,0,1.83,clear sky,0.000,0
225,Santa Rosalia,MX,2020-04-17 19:31:53,27.32,-112.28,78.58,23,0,2.15,clear sky,0.000,0
226,Lepley,RU,2020-04-17 19:31:53,54.31,42.86,36.81,84,97,6.31,overcast clouds,0.000,0
227,Broome,US,2020-04-17 19:31:53,42.25,-75.83,39.99,47,90,10.29,overcast clouds,0.000,0
228,Jardanhaza,HU,2020-04-17 19:31:54,48.15,20.25,50.72,79,16,2.62,few clouds,0.000,0
229,Santa Catalina,PH,2020-04-17 19:31:54,9.33,122.86,84.2,74,40,4.7,scattered clouds,0.000,0
230,Bonavista,CA,2020-04-17 19:31:54,48.65,-53.11,37.0,50,92,10.0,light snow,0.000,0
231,Galanta,SK,2020-04-17 19:31:55,48.19,17.73,64.99,39,53,4.7,light rain,0.230,0
232,Gravdal,NO,2020-04-17 19:31:56,68.12,13.5,34.21,93,98,11.27,overcast clouds,0.000,0
233,Sao Felix Do Xingu,BR,2020-04-17 19:31:57,-6.64,-51.99,71.38,91,100,1.9,light rain,2.080,0
234,Thompson,CA,2020-04-17 19:31:57,55.74,-97.86,41.0,44,90,13.87,overcast clouds,0.000,0
235,Longyearbyen,SJ,2020-04-17 19:31:57,78.22,15.64,33.8,64,75,8.05,broken clouds,0.000,0
